timestamp,percentage,depth,notional
2026-06-24 00:00:04,-5.00,8746.10800000,537541030.00740000
2026-06-24 00:00:04,-4.00,7974.47300000,491254506.91780000
2026-06-24 00:00:04,-3.00,6673.29000000,412430208.75210000
2026-06-24 00:00:04,-2.00,4991.46400000,309653295.48640000
2026-06-24 00:00:04,-1.00,1952.34200000,121810445.82700000
2026-06-24 00:00:04,-0.20,476.95300000,29870741.30630000
2026-06-24 00:00:04,0.20,531.02400000,33334090.94100000
2026-06-24 00:00:04,1.00,2482.16900000,156310796.65270000
2026-06-24 00:00:04,2.00,5074.27200000,321160916.63170000
2026-06-24 00:00:04,3.00,5991.68100000,380065112.32580000
2026-06-24 00:00:04,4.00,6447.74200000,409653426.02690000
2026-06-24 00:00:04,5.00,6768.56300000,430664643.76290000
2026-06-24 00:00:31,-5.00,8756.57700000,538336549.70440000
2026-06-24 00:00:31,-4.00,7970.25800000,491158750.62830000
2026-06-24 00:00:31,-3.00,6678.54000000,412892825.93400000
2026-06-24 00:00:31,-2.00,4967.11600000,308280503.82360000
2026-06-24 00:00:31,-1.00,1927.22200000,120333253.44800000
2026-06-24 00:00:31,-0.20,490.38300000,30721683.01840000
2026-06-24 00:00:31,0.20,609.05700000,38244581.51350000
2026-06-24 00:00:31,1.00,2770.65800000,174543439.38530000
2026-06-24 00:00:31,2.00,5305.81800000,335820839.41090000
2026-06-24 00:00:31,3.00,6170.08400000,391340399.57360000
2026-06-24 00:00:31,4.00,6612.80500000,420077568.66280000
2026-06-24 00:00:31,5.00,6928.96600000,440792510.08500000
2026-06-24 00:01:02,-5.00,9070.16800000,557986309.07910000
2026-06-24 00:01:02,-4.00,8279.13500000,510511332.79690000
2026-06-24 00:01:02,-3.00,6830.29000000,422666865.47550000
2026-06-24 00:01:02,-2.00,5160.37000000,320485478.70050000
2026-06-24 00:01:02,-1.00,2046.76300000,127860582.55190000
2026-06-24 00:01:02,-0.20,471.47800000,29556162.79010000
2026-06-24 00:01:02,0.20,729.70300000,45850576.25200000
2026-06-24 00:01:02,1.00,2833.51700000,178561323.60190000
2026-06-24 00:01:02,2.00,5573.31100000,352932270.18840000
2026-06-24 00:01:02,3.00,6348.52000000,402770847.58630000
2026-06-24 00:01:02,4.00,6777.90800000,430656534.66470000
2026-06-24 00:01:02,5.00,7097.58900000,451613970.96110000
2026-06-24 00:01:31,-5.00,9139.87800000,562356551.92600000
2026-06-24 00:01:31,-4.00,8344.80300000,514638258.21390000
2026-06-24 00:01:31,-3.00,6892.56300000,426583405.11960000
2026-06-24 00:01:31,-2.00,5219.87000000,324225337.92490000
2026-06-24 00:01:31,-1.00,2080.85700000,129998815.77280000
2026-06-24 00:01:31,-0.20,466.22000000,29230686.96520000
2026-06-24 00:01:31,0.20,842.33200000,52938179.97220000
2026-06-24 00:01:31,1.00,2904.14300000,183049569.19930000
2026-06-24 00:01:31,2.00,5613.73100000,355520157.86960000
2026-06-24 00:01:31,3.00,6390.28500000,405446524.39560000
2026-06-24 00:01:31,4.00,6820.27900000,433372736.01460000
2026-06-24 00:01:31,5.00,7153.73100000,455238423.20630000
2026-06-24 00:02:02,-5.00,9122.71100000,561290638.79940000
2026-06-24 00:02:02,-4.00,8331.83100000,513824793.20400000
2026-06-24 00:02:02,-3.00,6884.01300000,426040759.66110000
2026-06-24 00:02:02,-2.00,5227.15700000,324659701.33830000
2026-06-24 00:02:02,-1.00,2003.80600000,125202937.47010000
2026-06-24 00:02:02,-0.20,485.71200000,30449955.54130000
2026-06-24 00:02:02,0.20,685.06700000,43047178.56900000
2026-06-24 00:02:02,1.00,2929.16900000,184631406.05290000
2026-06-24 00:02:02,2.00,5597.15100000,354458136.79650000
2026-06-24 00:02:02,3.00,6382.00600000,404914231.32970000
2026-06-24 00:02:02,4.00,6813.82200000,432957480.57560000
2026-06-24 00:02:02,5.00,7133.50700000,453915177.98840000
2026-06-24 00:02:31,-5.00,9096.82100000,559720652.42550000
2026-06-24 00:02:31,-4.00,8301.89300000,512011129.11720000
2026-06-24 00:02:31,-3.00,6851.51500000,424069648.48630000
2026-06-24 00:02:31,-2.00,5183.46400000,321996289.51330000
2026-06-24 00:02:31,-1.00,2098.60800000,131108589.67200000
2026-06-24 00:02:31,-0.20,511.45300000,32066268.45430000
2026-06-24 00:02:31,0.20,779.33500000,48980017.03160000
2026-06-24 00:02:31,1.00,2903.86300000,183041792.35730000
2026-06-24 00:02:31,2.00,5772.05400000,365648272.09430000
2026-06-24 00:02:31,3.00,6553.32900000,415876032.92070000
2026-06-24 00:02:31,4.00,6986.10100000,443982169.71860000
2026-06-24 00:02:31,5.00,7319.56800000,465848846.17750000
2026-06-24 00:03:02,-5.00,9076.35800000,558325195.22060000
2026-06-24 00:03:02,-4.00,8296.51700000,511536721.12270000
2026-06-24 00:03:02,-3.00,7007.37500000,433426844.31700000
2026-06-24 00:03:02,-2.00,5326.76900000,330705304.06680000
2026-06-24 00:03:02,-1.00,2260.75900000,141114519.18210000
2026-06-24 00:03:02,-0.20,614.88200000,38523413.57830000
2026-06-24 00:03:02,0.20,548.29300000,34430373.78710000
2026-06-24 00:03:02,1.00,2866.72900000,180590508.26420000
2026-06-24 00:03:02,2.00,5754.15600000,364313297.47050000
2026-06-24 00:03:02,3.00,6641.07200000,421283120.44860000
2026-06-24 00:03:02,4.00,7085.14300000,450107886.39180000
2026-06-24 00:03:02,5.00,7402.13000000,470876715.79780000
2026-06-24 00:03:31,-5.00,8688.66200000,534242987.84050000
2026-06-24 00:03:31,-4.00,7904.70400000,487203696.45860000
2026-06-24 00:03:31,-3.00,6453.26200000,399213473.65880000
2026-06-24 00:03:31,-2.00,4917.00300000,305261366.18720000
2026-06-24 00:03:31,-1.00,1880.60400000,117474260.34760000
2026-06-24 00:03:31,-0.20,589.65100000,36951832.37120000
2026-06-24 00:03:31,0.20,550.31000000,34564114.96170000
2026-06-24 00:03:31,1.00,2621.88900000,165173239.18010000
2026-06-24 00:03:31,2.00,5319.64800000,336887978.88790000
2026-06-24 00:03:31,3.00,6164.95100000,391197150.32960000
2026-06-24 00:03:31,4.00,6612.16500000,420227902.34650000
2026-06-24 00:03:31,5.00,6929.32300000,441010690.95340000
2026-06-24 00:04:02,-5.00,9113.60900000,560661379.47140000
2026-06-24 00:04:02,-4.00,8336.48200000,514033550.46960000
2026-06-24 00:04:02,-3.00,7047.25700000,435917383.83330000
2026-06-24 00:04:02,-2.00,5356.56600000,332574245.60320000
2026-06-24 00:04:02,-1.00,2167.47100000,135335167.24430000
2026-06-24 00:04:02,-0.20,548.30100000,34357495.63000000
2026-06-24 00:04:02,0.20,563.89900000,35415421.74530000
2026-06-24 00:04:02,1.00,2862.91800000,180366841.54010000
2026-06-24 00:04:02,2.00,5727.82400000,362662164.42130000
2026-06-24 00:04:02,3.00,6610.98500000,419392889.86800000
2026-06-24 00:04:02,4.00,7056.74100000,448328292.46380000
2026-06-24 00:04:02,5.00,7375.13600000,469191365.95780000
2026-06-24 00:04:31,-5.00,9136.50000000,562096792.35300000
2026-06-24 00:04:31,-4.00,8352.58500000,515060057.57420000
2026-06-24 00:04:31,-3.00,6898.70100000,426920966.79830000
2026-06-24 00:04:31,-2.00,5378.44200000,333948599.24220000
2026-06-24 00:04:31,-1.00,2129.40400000,132986127.40360000
2026-06-24 00:04:31,-0.20,541.72500000,33948794.44610000
2026-06-24 00:04:31,0.20,605.47000000,38030181.54260000
2026-06-24 00:04:31,1.00,2973.67400000,187384667.42170000
2026-06-24 00:04:31,2.00,5766.45400000,365132855.93470000
2026-06-24 00:04:31,3.00,6616.07500000,419718625.95260000
2026-06-24 00:04:31,4.00,7061.48700000,448632605.06920000
2026-06-24 00:04:31,5.00,7378.79400000,469425185.73910000
2026-06-24 00:05:02,-5.00,9111.80200000,560536807.01230000
2026-06-24 00:05:02,-4.00,8333.53300000,513842906.12780000
2026-06-24 00:05:02,-3.00,7050.04700000,436077032.34180000
2026-06-24 00:05:02,-2.00,5380.12500000,334014013.42380000
2026-06-24 00:05:02,-1.00,2296.06000000,143315417.91020000
2026-06-24 00:05:02,-0.20,589.83000000,36954172.56020000
2026-06-24 00:05:02,0.20,542.24100000,34050685.13310000
2026-06-24 00:05:02,1.00,2845.93000000,179279251.58890000
2026-06-24 00:05:02,2.00,5712.61000000,361674930.10900000
2026-06-24 00:05:02,3.00,6610.32800000,419334399.15890000
2026-06-24 00:05:02,4.00,7054.54800000,448167065.54530000
2026-06-24 00:05:02,5.00,7375.37600000,469186593.70520000
2026-06-24 00:05:31,-5.00,8848.69400000,544159208.98460000
2026-06-24 00:05:31,-4.00,8070.66500000,497477348.58340000
2026-06-24 00:05:31,-3.00,6776.32400000,419051120.52470000
2026-06-24 00:05:31,-2.00,5085.94200000,315728275.30150000
2026-06-24 00:05:31,-1.00,2012.29000000,125668355.33750000
2026-06-24 00:05:31,-0.20,490.68900000,30745809.05480000
2026-06-24 00:05:31,0.20,656.42000000,41223458.14900000
2026-06-24 00:05:31,1.00,2670.13200000,168200357.65520000
2026-06-24 00:05:31,2.00,5295.56200000,335282451.04230000
2026-06-24 00:05:31,3.00,6184.89800000,392407518.09310000
2026-06-24 00:05:31,4.00,6641.94600000,422073468.69320000
2026-06-24 00:05:31,5.00,6960.85000000,442968505.40350000
2026-06-24 00:06:02,-5.00,8711.12800000,535533724.59380000
2026-06-24 00:06:02,-4.00,7953.72900000,490099092.57600000
2026-06-24 00:06:02,-3.00,6656.11700000,411491080.60000000
2026-06-24 00:06:02,-2.00,4974.29700000,308709129.89310000
2026-06-24 00:06:02,-1.00,1973.58700000,123199159.52760000
2026-06-24 00:06:02,-0.20,590.35400000,36976639.58810000
2026-06-24 00:06:02,0.20,564.45300000,35438554.65020000
2026-06-24 00:06:02,1.00,2621.84600000,165137566.23120000
2026-06-24 00:06:02,2.00,5239.87100000,331723116.51520000
2026-06-24 00:06:02,3.00,6149.57800000,390138953.50660000
2026-06-24 00:06:02,4.00,6608.09700000,419888488.86580000
2026-06-24 00:06:02,5.00,6932.29700000,441121201.35640000
2026-06-24 00:06:31,-5.00,9177.23400000,564584742.82150000
2026-06-24 00:06:31,-4.00,8399.26500000,517906269.34120000
2026-06-24 00:06:31,-3.00,7105.58800000,439519409.19630000
2026-06-24 00:06:31,-2.00,5411.04400000,335939227.38770000
2026-06-24 00:06:31,-1.00,2231.12400000,139295852.32520000
2026-06-24 00:06:31,-0.20,498.42200000,31233145.88120000
2026-06-24 00:06:31,0.20,599.05900000,37624011.19550000
2026-06-24 00:06:31,1.00,2863.77900000,180437769.18530000
2026-06-24 00:06:31,2.00,5668.67400000,358911311.43060000
2026-06-24 00:06:31,3.00,6552.70300000,415698265.02920000
2026-06-24 00:06:31,4.00,7004.30400000,445011166.19640000
2026-06-24 00:06:31,5.00,7325.76000000,466074010.60660000
2026-06-24 00:07:02,-5.00,9171.58100000,564340750.28330000
2026-06-24 00:07:02,-4.00,8380.20100000,516844238.83280000
2026-06-24 00:07:02,-3.00,6926.68800000,428711944.50540000
2026-06-24 00:07:02,-2.00,5254.94000000,326411249.43060000
2026-06-24 00:07:02,-1.00,1990.70100000,124410706.95680000
2026-06-24 00:07:02,-0.20,459.65600000,28820675.49140000
2026-06-24 00:07:02,0.20,809.47500000,50873200.59140000
2026-06-24 00:07:02,1.00,2992.36400000,188642851.18550000
2026-06-24 00:07:02,2.00,5784.44800000,366410262.77110000
2026-06-24 00:07:02,3.00,6566.69100000,416701628.91760000
2026-06-24 00:07:02,4.00,7011.95000000,445616633.73760000
2026-06-24 00:07:02,5.00,7346.56100000,467558006.84300000
2026-06-24 00:07:31,-5.00,8644.19900000,531547746.16010000
2026-06-24 00:07:31,-4.00,7861.87800000,484597576.76090000
2026-06-24 00:07:31,-3.00,6405.57800000,396301405.43490000
2026-06-24 00:07:31,-2.00,4773.41900000,296435749.36510000
2026-06-24 00:07:31,-1.00,1799.95100000,112470578.16730000
2026-06-24 00:07:31,-0.20,566.61100000,35517661.46680000
2026-06-24 00:07:31,0.20,504.25500000,31682538.87240000
2026-06-24 00:07:31,1.00,2702.38100000,170301597.44660000
2026-06-24 00:07:31,2.00,5465.41300000,346224653.45800000
2026-06-24 00:07:31,3.00,6255.66100000,397018403.90930000
2026-06-24 00:07:31,4.00,6715.23400000,426858173.33320000
2026-06-24 00:07:31,5.00,7036.67900000,447930453.99420000
2026-06-24 00:08:02,-5.00,9157.95200000,563631860.59500000
2026-06-24 00:08:02,-4.00,8269.94200000,510308904.52590000
2026-06-24 00:08:02,-3.00,6625.27300000,410471066.55180000
2026-06-24 00:08:02,-2.00,5237.18500000,325430351.00640000
2026-06-24 00:08:02,-1.00,1937.13600000,121140429.66440000
2026-06-24 00:08:02,-0.20,466.82500000,29284855.35430000
2026-06-24 00:08:02,0.20,814.50800000,51216511.46190000
2026-06-24 00:08:02,1.00,2912.51600000,183690149.04810000
2026-06-24 00:08:02,2.00,5898.25000000,373911245.05780000
2026-06-24 00:08:02,3.00,6507.61500000,413146239.78010000
2026-06-24 00:08:02,4.00,6939.96800000,441236190.14350000
2026-06-24 00:08:02,5.00,7274.32100000,463169938.90410000
2026-06-24 00:08:31,-5.00,9138.15700000,562376854.40550000
2026-06-24 00:08:31,-4.00,8269.72200000,510236450.26100000
2026-06-24 00:08:31,-3.00,6878.52400000,425846649.36390000
2026-06-24 00:08:31,-2.00,5254.65800000,326474149.87870000
2026-06-24 00:08:31,-1.00,2165.26200000,135294923.94250000
2026-06-24 00:08:31,-0.20,619.03800000,38811903.96570000
2026-06-24 00:08:31,0.20,639.01100000,40166476.05170000
2026-06-24 00:08:31,1.00,2847.72900000,179540485.44620000
2026-06-24 00:08:31,2.00,5743.30200000,363912620.56570000
2026-06-24 00:08:31,3.00,6541.20400000,415203724.91320000
2026-06-24 00:08:31,4.00,6994.16100000,444616844.56980000
2026-06-24 00:08:31,5.00,7331.85600000,466759251.88750000
2026-06-24 00:09:02,-5.00,9165.79100000,564149909.31400000
2026-06-24 00:09:02,-4.00,8296.15300000,511934473.47950000
2026-06-24 00:09:02,-3.00,6638.82200000,411334272.63470000
2026-06-24 00:09:02,-2.00,5256.28700000,326633753.36830000
2026-06-24 00:09:02,-1.00,1992.62200000,124595763.64530000
2026-06-24 00:09:02,-0.20,485.24500000,30439605.16950000
2026-06-24 00:09:02,0.20,735.02700000,46216844.95310000
2026-06-24 00:09:02,1.00,3005.31200000,189571189.13870000
2026-06-24 00:09:02,2.00,5901.39700000,374109936.22390000
2026-06-24 00:09:02,3.00,6515.94000000,413672533.63020000
2026-06-24 00:09:02,4.00,6961.22300000,442599130.91790000
2026-06-24 00:09:02,5.00,7296.49000000,464590737.35060000
2026-06-24 00:09:31,-5.00,9147.81400000,563334832.06690000
2026-06-24 00:09:31,-4.00,8227.43900000,508043556.84610000
2026-06-24 00:09:31,-3.00,6613.57900000,410044790.61660000
2026-06-24 00:09:31,-2.00,5114.16100000,318117279.93090000
2026-06-24 00:09:31,-1.00,1972.50600000,123481401.56470000
2026-06-24 00:09:31,-0.20,447.10500000,28080056.06660000
2026-06-24 00:09:31,0.20,1055.14200000,66419355.21860000
2026-06-24 00:09:31,1.00,3165.29200000,199877115.85710000
2026-06-24 00:09:31,2.00,5959.22600000,378080345.42720000
2026-06-24 00:09:31,3.00,6573.44100000,417662865.30640000
2026-06-24 00:09:31,4.00,6988.14700000,444625491.56450000
2026-06-24 00:09:31,5.00,7472.96200000,476499063.14440000
2026-06-24 00:10:03,-5.00,9136.04300000,562525686.14860000
2026-06-24 00:10:03,-4.00,8227.74100000,507972822.12830000
2026-06-24 00:10:03,-3.00,6607.26900000,409586172.32070000
2026-06-24 00:10:03,-2.00,5216.99800000,324391485.31530000
2026-06-24 00:10:03,-1.00,2064.21200000,129129327.54670000
2026-06-24 00:10:03,-0.20,538.33300000,33784707.88550000
2026-06-24 00:10:03,0.20,700.65800000,44080881.55650000
2026-06-24 00:10:03,1.00,2814.65900000,177595153.57300000
2026-06-24 00:10:03,2.00,5852.78500000,371258823.82660000
